EquipmentID,ManufacturerID,ModelID
ARV0029775,UNKNOWN,UNKNOWN
ARV0029776,UNKNOWN,UNKNOWN
ARV0029777,UNKNOWN,UNKNOWN
ARV0029778,UNKNOWN,UNKNOWN
ARV0029779,VAL-MATIC,MODEL 201C  
ARV0029780,VAL-MATIC,MODEL 201C  
ARV0029781,VAL-MATIC,MODEL 201C  
ARV0029782,VAL-MATIC,MODEL 201C  
ARV0029783,VAL-MATIC,MODEL 201C  
ARV0029784,UNKNOWN,UNKNOWN
ARV0029785,UNKNOWN,UNKNOWN
ARV0029786,UNKNOWN,UNKNOWN
ARV0029787,UNKNOWN,UNKNOWN
ARV0029788,APCO VALVE,MODEL 140C  
ARV0029789,APCO VALVE,MODEL 140C  
ARV0029790,VAL-MATIC,MODEL 960  
ARV0029791,CLA-VAL CO.,MODEL 4108VB
ARV0029792,UNKNOWN,UNKNOWN
ARV0029793,UNKNOWN,UNKNOWN
ARV0029794,UNKNOWN,UNKNOWN
ARV0029795,UNKNOWN,MODEL 145C  
ARV0029796,UNKNOWN,MODEL 145C  
ARV0029797,UNKNOWN,UNKNOWN
ARV0029798,VAL-MATIC,MODEL 945  
ARV0029799,VAL-MATIC,MODEL 1804VB  
ARV0029800,VAL-MATIC,MODEL 201C  
ARV0029801,VAL-MATIC,MODEL 1804VB  
ARV0029801,VAL-MATIC,MODEL 1804VB  
ARV0029802,VAL-MATIC,MODEL 1804VB  
ARV0029803,VAL-MATIC,MODEL 1804VB  
ARV0029804,VAL-MATIC,MODEL 1804VB  
ARV0029805,VAL-MATIC,MODEL 4108VB  
ARV0029806,VAL-MATIC,MODEL 1804VB  
ARV0029806,VAL-MATIC,MODEL 1804VB  
ARV0029807,VAL-MATIC,MODEL 4108VB  
ARV0029808,VAL-MATIC,MODEL 4108VB  
ARV0029809,VAL-MATIC,MODEL 1804VB  
ARV0029810,UNKNOWN,UNKNOWN
ARV0029811,UNKNOWN,UNKNOWN
ARV0029812,VAL-MATIC,MODEL 38  
ARV0029813,UNKNOWN,UNKNOWN
ARV0029814,UNKNOWN,UNKNOWN
ARV0029815,UNKNOWN,UNKNOWN
ARV0029816,VAL-MATIC,MODEL 1804VB  
ARV0029816,VAL-MATIC,MODEL 1804VB  
ARV0029817,VAL-MATIC,MODEL 1804VB  
ARV0029818,VAL-MATIC,MODEL 1804VB  
ARV0029819,VAL-MATIC,MODEL 1804VB  
ARV0029820,VAL-MATIC,MODEL 1804VB  
ARV0029821,VAL-MATIC,MODEL 1804VB  
ARV0029822,VAL-MATIC,MODEL 1804VB  
ARV0029823,VAL-MATIC,MODEL 1804VB  
ARV0029893,UNKNOWN,UNKNOWN
ARV0029960,UNKNOWN,MODEL 201C  
ARV0029981,GOLDEN ANDERSON,UNKNOWN
